XML Data Parsed for 01-Feb-2016Starting at: 1635h
POSIX,lon,lat
1454407903,-79.323898,43.664333
1454407930,-79.323883,43.664383
1454408012,-79.323715,43.664532
1454408032,-79.3233489,43.664585
1454408052,-79.3229829,43.664734
1454408072,-79.322365,43.664967
1454408091,-79.320518,43.665417
1454408111,-79.318169,43.665932
1454408134,-79.31665,43.666283
1454408154,-79.31517,43.666634
1454408174,-79.313866,43.66695
1454408194,-79.313232,43.667049
1454408215,-79.311752,43.6674
1454408231,-79.309898,43.6678349
1454408251,-79.307137,43.668449
1454408271,-79.305733,43.668766
1454408292,-79.303703,43.669216
1454408319,-79.3004,43.669949
1454408344,-79.29837,43.670383
1454408360,-79.296654,43.670784
1454408410,-79.290863,43.671951
1454408460,-79.285004,43.6731679
1454408480,-79.282936,43.673599
1454408500,-79.2815169,43.673752
1454408527,-79.281197,43.6736829
1454408885,-79.281136,43.673882
1454408904,-79.281601,43.673916
1454408925,-79.282898,43.673618
1454408945,-79.284966,43.673183
1454409012,-79.295517,43.671017
1454409032,-79.298332,43.670399
1454409053,-79.301247,43.669765
1454409083,-79.305183,43.6689
1454409103,-79.305649,43.6688
1454409141,-79.307365,43.6684
1454409161,-79.309586,43.6679
1454409184,-79.311684,43.667435
1454409204,-79.312149,43.667332
1454409222,-79.313583,43.667034
1454409242,-79.315834,43.666534
1454409263,-79.317085,43.666233
1454409282,-79.319153,43.665783
1454409304,-79.321434,43.665249
1454409323,-79.322701,43.664982
1454409340,-79.323631,43.664768
1454409360,-79.3258819,43.664249
1454409380,-79.327904,43.663784
1454409400,-79.329781,43.6633489
1454409421,-79.329987,43.6633
1454409442,-79.330887,43.663116
1454409462,-79.33213,43.6628339
1454409483,-79.33297,43.6626509
1454409500,-79.334717,43.662266
1454409521,-79.336617,43.661835
1454409541,-79.337135,43.661716
1454409561,-79.33828,43.661449
1454409584,-79.339333,43.661217
1454409601,-79.340103,43.661049
1454409621,-79.3413999,43.660767
1454409642,-79.342819,43.66045
1454409662,-79.344467,43.660084
1454409683,-79.345848,43.659767
1454409701,-79.346886,43.659515
1454409721,-79.348465,43.659168
1454409741,-79.349068,43.659035
1454409762,-79.349365,43.658966
1454409782,-79.350014,43.658817
1454409799,-79.351234,43.658535
1454409820,-79.352753,43.658199
1454409844,-79.353935,43.657932
1454409865,-79.3543849,43.657848
1454410103,-79.354713,43.657784
1454410123,-79.355118,43.6577
1454410143,-79.357651,43.657116
1454410161,-79.358765,43.656868
1454410182,-79.36087,43.656384
1454410199,-79.363632,43.655766
1454410222,-79.3642349,43.655632
1454410242,-79.3656309,43.65535
1454410262,-79.368301,43.654766
1454410282,-79.369186,43.654568
1454410303,-79.369286,43.654549
1454410323,-79.371552,43.654049
1454410344,-79.372932,43.653782
1454410361,-79.373634,43.6536479
1454410380,-79.375465,43.653267
1454410421,-79.376602,43.653049
1454410444,-79.377716,43.652802
1454410460,-79.378334,43.652668
1454410483,-79.379051,43.6525
1454410501,-79.3809969,43.652084
1454410524,-79.381332,43.652016
1454410562,-79.382217,43.651852
1454410583,-79.384354,43.651382
1454410599,-79.384666,43.651318
1454410624,-79.385902,43.651001
1454410640,-79.38755,43.650684
1454410664,-79.38932,43.6502989
1454410681,-79.389984,43.650135
1454410692,-79.390465,43.650032
1454410709,-79.390869,43.649948
1454410729,-79.392052,43.649666
1454410753,-79.393799,43.6492999
1454410769,-79.395531,43.648933
1454410790,-79.396019,43.648834
1454410829,-79.396049,43.648815
1454410852,-79.396568,43.648716
1454410870,-79.398003,43.648418
1454410889,-79.399765,43.648067
1454410910,-79.401047,43.6477999
1454410931,-79.401985,43.6476169
1454410951,-79.402351,43.647549
1454411150,-79.40242,43.647533
1454411170,-79.403633,43.647282
1454411192,-79.404816,43.647034
1454411212,-79.407433,43.646515
1454411233,-79.410614,43.645866
1454411253,-79.413101,43.645367
1454411270,-79.415314,43.644932
1454411288,-79.416763,43.644634
1454411312,-79.418549,43.644234
1454411329,-79.420937,43.6437839
1454411349,-79.422165,43.643532
1454411370,-79.423782,43.6432
1454411391,-79.42643,43.642666
1454411408,-79.427254,43.642502
1454411432,-79.428635,43.6422
1454411452,-79.431068,43.641701
1454411472,-79.433853,43.641151
1454411489,-79.436134,43.640682
1454411509,-79.436302,43.640652
1454411550,-79.437202,43.64045
1454411570,-79.439751,43.6399649
1454411591,-79.440765,43.6397819
1454411611,-79.443001,43.639351
1454411631,-79.445435,43.638882
1454411651,-79.445717,43.638832
1454411689,-79.446167,43.638748
1454411710,-79.446686,43.638634
1454411734,-79.447548,43.638599
1454411760,-79.449982,43.63905
1454411786,-79.453232,43.639717
1454411814,-79.4568479,43.639683
1454411841,-79.460098,43.639435
1454411867,-79.463585,43.638584
1454411902,-79.467003,43.637665
1454411929,-79.4695969,43.637268
1454411963,-79.4715499,43.636799
1454411997,-79.47403,43.634968
1454412028,-79.476433,43.632633
1454412059,-79.478317,43.631699
1454412089,-79.478447,43.631451
1454412343,-79.478516,43.631248
1454412367,-79.478554,43.631184
1454412536,-79.478699,43.6309169
1454412635,-79.478416,43.631184
1454412927,-79.478302,43.631634
1454412951,-79.475853,43.633118
1454412982,-79.473251,43.635685
1454413006,-79.470619,43.637066
1454413040,-79.470116,43.637184
1454413071,-79.46978,43.637218
1454413109,-79.468216,43.637451
1454413146,-79.46508,43.638115
1454413177,-79.460968,43.6392669
1454413208,-79.457069,43.639683
1454413239,-79.453918,43.639702
1454413271,-79.450813,43.639217
1454413299,-79.448364,43.638748
1454413331,-79.446564,43.638618
1454413361,-79.446381,43.638649
1454413389,-79.443466,43.639217
1454413392,-79.443047,43.639301
1454413410,-79.442314,43.639435
1454413431,-79.440018,43.6399
1454413455,-79.439148,43.640083
1454413473,-79.437263,43.640465
1454413494,-79.435318,43.64085
1454413512,-79.433235,43.641266
1454413532,-79.431252,43.641666
1454413550,-79.429604,43.641998
1454413575,-79.4289469,43.6421319
1454413591,-79.428749,43.642185
1454413612,-79.427734,43.642384
1454413635,-79.4273149,43.642467
1454413652,-79.427185,43.642502
1454413673,-79.426613,43.642601
1454413690,-79.42643,43.6427989
1454413712,-79.4245,43.643032
1454413732,-79.423531,43.643215
1454413753,-79.422531,43.643417
1454413773,-79.421768,43.643566
1454413794,-79.420135,43.643902
1454413811,-79.419113,43.6440849
1454413829,-79.418953,43.644115
1454413850,-79.41732,43.644482
1454413870,-79.41658,43.644634
1454413894,-79.416435,43.644665
1454413911,-79.41568,43.644817
1454413933,-79.414001,43.645168
1454413950,-79.413353,43.645302
1454414014,-79.410347,43.645916
1454414034,-79.410034,43.645985
1454414052,-79.409119,43.646168
1454414072,-79.407051,43.646568
1454414089,-79.4067309,43.646633
1454414109,-79.406532,43.646667
1454414134,-79.404617,43.647049
1454414154,-79.403915,43.647182
1454414171,-79.40255,43.647469
1454414192,-79.401047,43.647785
1454414216,-79.400047,43.647999
1454414232,-79.399818,43.648048
1454414249,-79.398148,43.648384
1454414272,-79.396683,43.648666
1454414292,-79.396599,43.648682
1454414330,-79.396431,43.648735
1454414351,-79.395233,43.648983
1454414368,-79.393616,43.649315
1454414392,-79.3918,43.649715
1454414413,-79.391296,43.649818
1454414430,-79.390533,43.650002
1454414451,-79.389519,43.650215
1454414465,-79.3886179,43.650417
1454414482,-79.387001,43.650768
1454414562,-79.385963,43.651001
